store_id,city,state,latitude,longitude,monthly_sales,store_size_sqft,customers_per_day,competitor_stores,existing_store
1,New York,NY,40.71,-74.0,250000,5000,850,12,1
2,Los Angeles,CA,34.05,-118.24,180000,4200,620,8,1
3,Chicago,IL,41.85,-87.65,120000,3800,480,6,1
4,Houston,TX,29.76,-95.36,95000,3200,380,4,1
5,Phoenix,AZ,33.44,-112.07,75000,2800,300,3,0
6,Philadelphia,PA,39.95,-75.16,60000,2500,240,2,0
7,San Antonio,TX,29.42,-98.49,55000,2600,260,3,0
8,San Diego,CA,32.72,-117.15,80000,3000,320,4,1
9,Dallas,TX,32.78,-96.79,110000,3500,420,5,1
10,San Jose,CA,37.33,-121.88,140000,3900,500,7,1
